accession	version	length	taxid	organism	species	genus	family	collection_date	country	isolate	strain	host	genotype	submitter	seq_tech
PV667667	PV667667.1	7431		Echovirus E11	Echovirus E11	Echovirus		21-Jul-2022		281/YN/CHN/2022		Homo sapiens		Li,X., Yang,H., Chu,Z., Chen,J., Feng,C., Liu,J. and Ma,S.	
PV548877	PV548877.1	7393		Echovirus E33	Echovirus E33	Echovirus		28-Apr-2022		287/YN/CHN/2022		Homo sapiens		Li,X., Yang,H., Zhang,M., Liu,J., Feng,C. and Ma,S.	
PV548876	PV548876.1	7393		Echovirus E33	Echovirus E33	Echovirus		21-Jul-2022		273/YN/CHN/2022		Homo sapiens		Li,X., Yang,H., Zhang,M., Liu,J., Feng,C. and Ma,S.	
PV548878	PV548878.1	7393		Echovirus E33	Echovirus E33	Echovirus		20-Jul-2022		290/YN/CHN/2022		Homo sapiens		Li,X., Yang,H., Zhang,M., Liu,J., Feng,C. and Ma,S.	
PX970891	PX970891.1	6591		enterovirus D68	enterovirus D68	enterovirus		Nov-2024		202454600		Homo sapiens		Camacho,J., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Biya,Y., Ruiz de Pedro,E., Gutierrez,A., Nieto,M.C., Ruiz-Garcia,M.M., Pastor-Fajardo,M.T., Lagarejos,E., de Leonardo Simon,C., Navascues,A., Moreno-Docon,A., Gozalo-Marguello,M., Berengua,C., Antequera,P., Huescar-Pascual,M.D., Calvo,C. and Cabrerizo,M.	
PX397553	PX397553.1	7391		enterovirus D68	enterovirus D68	enterovirus		03-Sep-2024		R1921/Jieyang/GD/CHN/2024		Homo sapiens		Zeng,H.	
PX970889	PX970889.1	6594		enterovirus D68	enterovirus D68	enterovirus		Nov-2024		202451413		Homo sapiens		Camacho,J., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Biya,Y., Ruiz de Pedro,E., Gutierrez,A., Nieto,M.C., Ruiz-Garcia,M.M., Pastor-Fajardo,M.T., Lagarejos,E., de Leonardo Simon,C., Navascues,A., Moreno-Docon,A., Gozalo-Marguello,M., Berengua,C., Antequera,P., Huescar-Pascual,M.D., Calvo,C. and Cabrerizo,M.	
PX970890	PX970890.1	6591		enterovirus D68	enterovirus D68	enterovirus		Nov-2024		202454605		Homo sapiens		Camacho,J., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Biya,Y., Ruiz de Pedro,E., Gutierrez,A., Nieto,M.C., Ruiz-Garcia,M.M., Pastor-Fajardo,M.T., Lagarejos,E., de Leonardo Simon,C., Navascues,A., Moreno-Docon,A., Gozalo-Marguello,M., Berengua,C., Antequera,P., Huescar-Pascual,M.D., Calvo,C. and Cabrerizo,M.	
PX970893	PX970893.1	6591		enterovirus D68	enterovirus D68	enterovirus		Dec-2024		202454604		Homo sapiens		Camacho,J., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Biya,Y., Ruiz de Pedro,E., Gutierrez,A., Nieto,M.C., Ruiz-Garcia,M.M., Pastor-Fajardo,M.T., Lagarejos,E., de Leonardo Simon,C., Navascues,A., Moreno-Docon,A., Gozalo-Marguello,M., Berengua,C., Antequera,P., Huescar-Pascual,M.D., Calvo,C. and Cabrerizo,M.	
PX970892	PX970892.1	6591		enterovirus D68	enterovirus D68	enterovirus		Nov-2024		202452058		Homo sapiens		Camacho,J., Garcia-Ibanez,N., Fernandez-Garcia,M.D., Biya,Y., Ruiz de Pedro,E., Gutierrez,A., Nieto,M.C., Ruiz-Garcia,M.M., Pastor-Fajardo,M.T., Lagarejos,E., de Leonardo Simon,C., Navascues,A., Moreno-Docon,A., Gozalo-Marguello,M., Berengua,C., Antequera,P., Huescar-Pascual,M.D., Calvo,C. and Cabrerizo,M.	
PV072637	PV072637.1	8787		Human immunodeficiency virus 1	Human immunodeficiency	Human		2022		22HH130		Homo sapiens		Chen,M., Chen,H., Dai,J., Dong,L., Ma,Y., Jia,M. and Ding,W.	
PV072638	PV072638.1	8869		Human immunodeficiency virus 1	Human immunodeficiency	Human		2022		22HH164		Homo sapiens		Chen,M., Chen,H., Dai,J., Dong,L., Ma,Y., Jia,M. and Ding,W.	
PV207989	PV207989.1	8809		Human immunodeficiency virus 1	Human immunodeficiency	Human		2020		20BS214		Homo sapiens		Chen,M., Ma,Y., Chen,H., Jia,M. and Ding,W.	
PV207986	PV207986.1	8886		Human immunodeficiency virus 1	Human immunodeficiency	Human		2019		19BS032		Homo sapiens		Chen,M., Ma,Y., Chen,H., Jia,M. and Ding,W.	
PV207987	PV207987.1	8795		Human immunodeficiency virus 1	Human immunodeficiency	Human		2019		19BS273		Homo sapiens		Chen,M., Ma,Y., Chen,H., Jia,M. and Ding,W.	
PV072641	PV072641.1	8834		Human immunodeficiency virus 1	Human immunodeficiency	Human		2022		22HH577		Homo sapiens		Chen,M., Chen,H., Dai,J., Dong,L., Ma,Y., Jia,M. and Ding,W.	
PV072640	PV072640.1	8908		Human immunodeficiency virus 1	Human immunodeficiency	Human		2022		22HH495		Homo sapiens		Chen,M., Chen,H., Dai,J., Dong,L., Ma,Y., Jia,M. and Ding,W.	
PX905700	PX905700.1	33780		Human mastadenovirus A	Human mastadenovirus	Human		Feb-2024		AdV-AS51		Homo sapiens		Ivanov,S.V., Angelova,P.Y., Urshev,Z.L., Shishkov,S.A., Shishkova,K.A. and Hinkov,A.V.	
PX921730	PX921730.1	13338		human metapneumovirus	human metapneumovirus	human		2025-01-28			13000461-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921746	PX921746.1	13313		human metapneumovirus	human metapneumovirus	human		2025-04-01			13146584-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921735	PX921735.1	13338		human metapneumovirus	human metapneumovirus	human		2025-12-02			13037885-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608648	PX608648.1	13282		human metapneumovirus	human metapneumovirus	human		2023		2023-1914		Homo sapiens		Li,Y.	
PX921753	PX921753.1	13248		human metapneumovirus	human metapneumovirus	human		2025-04-04			13154459-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921733	PX921733.1	13338		human metapneumovirus	human metapneumovirus	human		2025-12-02			13037961-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921743	PX921743.1	13178		human metapneumovirus	human metapneumovirus	human		2025-12-02			13038717-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921726	PX921726.1	13338		human metapneumovirus	human metapneumovirus	human		2015-07-28			6639760-ATH-A2.2.2-2015	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921742	PX921742.1	13178		human metapneumovirus	human metapneumovirus	human		2025-01-27			13000048-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608640	PX608640.1	13287		human metapneumovirus	human metapneumovirus	human		2021		2021-0688		Homo sapiens		Li,Y.	
PX921747	PX921747.1	13225		human metapneumovirus	human metapneumovirus	human		2025-04-19			13186053-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921727	PX921727.1	13338		human metapneumovirus	human metapneumovirus	human		2018-08-16			8416055-ATH-A2.2.2-2018	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608642	PX608642.1	13284		human metapneumovirus	human metapneumovirus	human		2021		2021-1674		Homo sapiens		Li,Y.	
PX608645	PX608645.1	13270		human metapneumovirus	human metapneumovirus	human		2022		2022-0195		Homo sapiens		Li,Y.	
PX608652	PX608652.1	13282		human metapneumovirus	human metapneumovirus	human		2024		2024-0533		Homo sapiens		Li,Y.	
PX608643	PX608643.1	13281		human metapneumovirus	human metapneumovirus	human		2022		2022-0140		Homo sapiens		Li,Y.	
PX921750	PX921750.1	13248		human metapneumovirus	human metapneumovirus	human		2025-04-14			13177694-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608650	PX608650.1	13281		human metapneumovirus	human metapneumovirus	human		2023		2023-2282		Homo sapiens		Li,Y.	
PX921734	PX921734.1	13338		human metapneumovirus	human metapneumovirus	human		2025-01-21			12986269-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921737	PX921737.1	13178		human metapneumovirus	human metapneumovirus	human		2025-01-15			12971374-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608638	PX608638.1	13287		human metapneumovirus	human metapneumovirus	human		2020		2020-2084		Homo sapiens		Li,Y.	
PX921748	PX921748.1	13248		human metapneumovirus	human metapneumovirus	human		2025-03-17			13113030-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921732	PX921732.1	13338		human metapneumovirus	human metapneumovirus	human		2025-02-16			13047225-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921744	PX921744.1	13300		human metapneumovirus	human metapneumovirus	human		2025-03-05			13082770-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608649	PX608649.1	13327		human metapneumovirus	human metapneumovirus	human		2023		2023-1938		Homo sapiens		Li,Y.	
PX921741	PX921741.1	13178		human metapneumovirus	human metapneumovirus	human		2025-01-23			480979-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921729	PX921729.1	13338		human metapneumovirus	human metapneumovirus	human		2025-04-02			13019205-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608639	PX608639.1	13325		human metapneumovirus	human metapneumovirus	human		2021		2021-0333		Homo sapiens		Li,Y.	
PX921752	PX921752.1	13248		human metapneumovirus	human metapneumovirus	human		2025-03-21			13124785-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608646	PX608646.1	13276		human metapneumovirus	human metapneumovirus	human		2022		2022-0196		Homo sapiens		Li,Y.	
PX921749	PX921749.1	13248		human metapneumovirus	human metapneumovirus	human		2025-03-27			13136314-ATH-B2-2025	Homo sapiens	genotype: B2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX608651	PX608651.1	13281		human metapneumovirus	human metapneumovirus	human		2024		2024-0250		Homo sapiens		Li,Y.	
PX608654	PX608654.1	13280		human metapneumovirus	human metapneumovirus	human		2024		2024-2259		Homo sapiens		Li,Y.	
PX921728	PX921728.1	13338		human metapneumovirus	human metapneumovirus	human		2025-01-31			13011209-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PX921731	PX921731.1	13338		human metapneumovirus	human metapneumovirus	human		2025-02-17			13049422-ATH-A2.2.2-2025	Homo sapiens	genotype: A2.2.2	Siafakas,N., Papadopoulou,K., Psina,A., Tsiodras,S. and Pournaras,S.	
PV418783	PV418783.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP274201		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418871	PV418871.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP205266		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419052	PV419052.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP203535		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426505	PV426505.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-08-05		HPV16/Russia/SPE-RII-CS1198/2024		Homo sapiens; 22 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418984	PV418984.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2010		PAP254414		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418911	PV418911.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP139498		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419065	PV419065.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2009		PAP175356		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418830	PV418830.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP207847		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419067	PV419067.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2009		PAP277993		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418765	PV418765.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP207701		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418919	PV418919.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP131973		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418925	PV418925.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2008		PAP191490		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418766	PV418766.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2008		PAP192099		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419044	PV419044.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2008		PAP284779		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418771	PV418771.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2008		PAP255064		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
